periodo_mes	mes	ano	decada	meta_acumulada_mes	selic_acumulada_mes	ipca_mes
2011-03	MAR	2011	2010	0.9264903462455676	0.920464822041267	0.79
2011-04	ABR	2011	2010	0.8456028484723044	0.8401610683591576	0.77
2011-05	MAI	2011	2010	0.9942879308839858	0.9879880473383063	0.47
2011-06	JUN	2011	2010	0.9622778734151627	0.9562758123156323	0.15
2011-07	JUL	2011	2010	0.9738775017061663	0.9678830232191515	0.16
2011-08	AGO	2011	2010	1.0808028246933388	1.074240256859138	0.37
2011-09	SET	2011	2010	0.9488792934582824	0.9413651406456003	0.53
2011-10	OUT	2011	2010	0.8891596931184464	0.881994743787029	0.43
2011-11	NOV	2011	2010	0.8676664405398826	0.8604837704102142	0.52
2011-12	DEZ	2011	2010	0.9152424611560184	0.907302204425231	0.5
2012-01	JAN	2012	2010	0.8989723420692375	0.8910186636749362	0.56
2012-02	FEV	2012	2010	0.7556428077216459	0.748765128367368	0.45
2012-03	MAR	2012	2010	0.8291404692051696	0.8211289735710059	0.21
2012-04	ABR	2012	2010	0.7191769039510243	0.7118703350612376	0.64
2012-05	MAI	2012	2010	0.7533439434755262	0.7452323315370935	0.36
2012-06	JUN	2012	2010	0.6495607688419058	0.6414584925781508	0.08
2012-07	JUL	2012	2010	0.6889075510351006	0.6799653191236432	0.43
2012-08	AGO	2012	2010	0.7011862391760548	0.691816929925837	0.41
2012-09	SET	2012	2010	0.5467641583160043	0.5390032793569866	0.57
2012-10	OUT	2012	2010	0.6203521750871799	0.6113460262624271	0.59
2012-11	NOV	2012	2010	0.5570407488339368	0.5488515305201558	0.6
2012-12	DEZ	2012	2010	0.5570407488339368	0.5488515305201558	0.79
2013-01	JAN	2013	2010	0.6129152011903116	0.6030822618394049	0.86
2013-02	FEV	2013	2010	0.5011973258381541	0.4924910227599444	0.6
2013-03	MAR	2013	2010	0.5570407488339368	0.5497451868673009	0.47
2013-04	ABR	2013	2010	0.621281835475429	0.6135799464038083	0.55
2013-05	MAI	2013	2010	0.6063444711823296	0.5985439234501344	0.37
2013-06	JUN	2013	2010	0.6126711124306405	0.6052743179224329	0.26
2013-07	JUL	2013	2010	0.7325863056982351	0.7240955067359112	0.03
2013-08	AGO	2013	2010	0.7184235796013683	0.7103195161367148	0.24
2013-09	SET	2013	2010	0.7207323316138492	0.7130287299958127	0.35
2013-10	OUT	2013	2010	0.8189357521185103	0.8105171166452152	0.57
2013-11	NOV	2013	2010	0.7265148578073477	0.7192144983118709	0.54
2013-12	DEZ	2013	2010	0.7974140428904208	0.7897746915742854	0.92
2014-01	JAN	2014	2010	0.857323119563902	0.84933501995057	0.55
2014-02	FEV	2014	2010	0.7973791235675654	0.7901381107818573	0.69
2014-03	MAR	2014	2010	0.7728118609859891	0.7659485440231428	0.92
2014-04	ABR	2014	2010	0.8298892185472528	0.8226752540714255	0.67
2014-05	MAI	2014	2010	0.8734593823550574	0.8658831709945192	0.46
2014-06	JUN	2014	2010	0.8316936034746369	0.824481138675659	0.4
2014-07	JUL	2014	2010	0.9570428470433434	0.9487382459490323	0.01
2014-08	AGO	2014	2010	0.8734593823550574	0.8658831709945192	0.25
2014-09	SET	2014	2010	0.9152424611560184	0.907302204425231	0.57
2014-10	OUT	2014	2010	0.9588454429103388	0.9505423170135918	0.42
2014-11	NOV	2014	2010	0.8496986275573271	0.8425010922562093	0.51
2014-12	DEZ	2014	2010	0.969196785518478	0.961300785880792	0.78
2015-01	JAN	2015	2010	0.9425992900032654	0.9350799743188309	1.24
2015-02	FEV	2015	2010	0.8288326747701413	0.8224139308218748	1.22
2015-03	MAR	2015	2010	1.0478038289472025	1.0399718387941403	1.32
2015-04	ABR	2015	2010	0.9587255911902348	0.9516177418296357	0.71
2015-05	MAI	2015	2010	0.9924125367691827	0.9853321565689299	0.74
2015-06	JUN	2015	2010	1.0740902426732868	1.0666778881293304	0.79
2015-07	JUL	2015	2010	1.1863180979271526	1.1781990360462569	0.62
2015-08	AGO	2015	2010	1.11634214168006	1.1089638098505716	0.22
2015-09	SET	2015	2010	1.11634214168006	1.1089638098505716	0.54
2015-10	OUT	2015	2010	1.11634214168006	1.1089638098505716	0.82
2015-11	NOV	2015	2010	1.0629014979340878	1.0558782168431424	1.01
2015-12	DEZ	2015	2010	1.1698110440883314	1.162077289213892	0.96
2016-01	JAN	2016	2010	1.0629014979340878	1.0558782168431424	1.27
2016-02	FEV	2016	2010	1.0094890979155169	1.0028204955503384	0.9
2016-03	MAR	2016	2010	1.1698110440883314	1.162077289213892	0.43
2016-04	ABR	2016	2010	1.0629014979340878	1.0558782168431424	0.61
2016-05	MAI	2016	2010	1.11634214168006	1.1089638098505716	0.78
2016-06	JUN	2016	2010	1.1698110440883314	1.162077289213892	0.35
2016-07	JUL	2016	2010	1.11634214168006	1.1089638098505716	0.52
2016-08	AGO	2016	2010	1.223308220101682	1.2152186695820744	0.44
2016-09	SET	2016	2010	1.11634214168006	1.1089638098505716	0.08
2016-10	OUT	2016	2010	1.0558735991237134	1.0488446435966026	0.26
2016-11	NOV	2016	2010	1.0453326672457575	1.0382952016084745	0.18
2016-12	DEZ	2016	2010	1.1310803050018636	1.1233155156776142	0.3
2017-01	JAN	2017	2010	1.0939201183760128	1.0861253852176622	0.38
2017-02	FEV	2017	2010	0.8714733488157655	0.8650897906571364	0.33
2017-03	MAR	2017	2010	1.0602806977155321	1.0520602153251346	0.25
2017-04	ABR	2017	2010	0.7930343703113296	0.7865858496174383	0.14
2017-05	MAI	2017	2010	0.9350645754163667	0.9271406131378779	0.31
2017-06	JUN	2017	2010	0.8164846051902153	0.8088611418094693	-0.23
2017-07	JUL	2017	2010	0.8055493937392244	0.7979167855731051	0.24
2017-08	AGO	2017	2010	0.8107206309073689	0.8022951779648846	0.19
2017-09	SET	2017	2010	0.6458247210617607	0.6384561046524961	0.16
2017-10	OUT	2017	2010	0.6516884038932913	0.6439264177539927	0.42
2017-11	NOV	2017	2010	0.5756238885981313	0.5681954119451937	0.28
2017-12	DEZ	2017	2010	0.5458578258434876	0.5384037739598169	0.44
2018-01	JAN	2018	2010	0.5924186400122045	0.5842077750833452	0.29
2018-02	FEV	2018	2010	0.47232078470222927	0.4655994209848746	0.32
2018-03	MAR	2018	2010	0.5402001917532706	0.5323429799963586	0.09
2018-04	ABR	2018	2010	0.5261694276849527	0.5183001430342671	0.22
2018-05	MAI	2018	2010	0.5261694276849527	0.5183001430342671	0.4
2018-06	JUN	2018	2010	0.5261694276849527	0.5183001430342671	1.26
2018-07	JUL	2018	2010	0.551294056281959	0.5430479987243109	0.33
2018-08	AGO	2018	2010	0.576424964308142	0.5678019473980278	-0.09
2018-09	SET	2018	2010	0.47593900250277876	0.46882270460661957	0.48
2018-10	OUT	2018	2010	0.551294056281959	0.5430479987243109	0.45
2018-11	NOV	2018	2010	0.5010510769481114	0.4935583788281628	-0.21
2018-12	DEZ	2018	2010	0.5010510769481114	0.4935583788281628	0.15
2019-01	JAN	2019	2010	0.551294056281959	0.5430479987243109	0.32
2019-02	FEV	2019	2010	0.5010510769481114	0.4935583788281628	0.43
2019-03	MAR	2019	2010	0.47593900250277876	0.46882270460661957	0.75
2019-04	ABR	2019	2010	0.5261694276849527	0.5183001430342671	0.57
2019-05	MAI	2019	2010	0.551294056281959	0.5430479987243109	0.13
2019-06	JUN	2019	2010	0.47593900250277876	0.46882270460661957	0.01
2019-07	JUL	2019	2010	0.576424964308142	0.5678019473980278	0.19
2019-08	AGO	2019	2010	0.5099928759517924	0.501711308167585	0.11
2019-09	SET	2019	2010	0.4716731546088315	0.46375674757705987	-0.04
2019-10	OUT	2019	2010	0.48796727145341556	0.4792683390518526	0.1
2019-11	NOV	2019	2010	0.3879742040685752	0.380382971196247	0.51
2019-12	DEZ	2019	2010	0.38269104367356643	0.3746970655336801	1.15
2020-01	JAN	2020	2020	0.38501367720684687	0.3766236288896829	0.21
2020-02	FEV	2020	2020	0.3006000161774214	0.293727438624658	0.25
2020-03	MAR	2020	2020	0.3467934056148758	0.3383698486890685	0.07
2020-04	ABR	2020	2020	0.2926016352325478	0.28492620001472346	-0.31
2020-05	MAI	2020	2020	0.24352682280575078	0.2358076395826858	-0.38
2020-06	JUN	2020	2020	0.22046532983923672	0.21232775541852877	0.26
2020-07	JUL	2020	2020	0.2032873035958893	0.1943390350078289	0.36
2020-08	AGO	2020	2020	0.1680772497263172	0.1598927646699444	0.24
2020-09	SET	2020	2020	0.1651581301919114	0.15697102274154773	0.64
2020-10	OUT	2020	2020	0.1651581301919114	0.15697102274154773	0.86
2020-11	NOV	2020	2020	0.15728727558201872	0.14949062791567158	0.89
2020-12	DEZ	2020	2020	0.17302960333245299	0.16445197629524344	1.35
2021-01	JAN	2021	2020	0.15728727558201872	0.14949062791567158	0.25
2021-02	FEV	2021	2020	0.14154742175978008	0.13453151428046706	0.86
2021-03	MAR	2021	2020	0.2100301075549149	0.20108777587299898	0.93
2021-04	ABR	2021	2020	0.21553883574461086	0.20779462200810617	0.31
2021-05	MAI	2021	2020	0.27840734458561833	0.2703213944943883	0.83
2021-06	JUN	2021	2020	0.3158280227308907	0.3077751797210926	0.53
2021-07	JUL	2021	2020	0.3640247933472729	0.3556163746277319	0.96
2021-08	AGO	2021	2020	0.4362912405888375	0.42794584295848814	0.87
2021-09	SET	2021	2020	0.44992661602243356	0.44199127599982013	1.16
2021-10	OUT	2021	2020	0.4934875788673132	0.4859882673393434	1.25
2021-11	NOV	2021	2020	0.5941672841570433	0.5867546838882909	0.95
2021-12	DEZ	2021	2020	0.7775423109654067	0.7690890302830544	0.73
2022-01	JAN	2022	2020	0.7399630287176606	0.7322755953915738	0.54
2022-02	FEV	2022	2020	0.7619061336678001	0.755033637046032	1.01
2022-03	MAR	2022	2020	0.9349755778000679	0.9270514623078707	1.62
2022-04	ABR	2022	2020	0.8411316500508192	0.8343251638317728	1.06
2022-05	MAI	2022	2020	1.042433650028518	1.0345972775022139	0.47
2022-06	JUN	2022	2020	1.0227769156266886	1.0153230128139956	0.67
2022-07	JUL	2022	2020	1.0422908867373737	1.0348528288470549	-0.68
2022-08	AGO	2022	2020	1.1774896458546014	1.169363521698541	-0.36
2022-09	SET	2022	2020	1.0793911082132235	1.0719830392053487	-0.29
2022-10	OUT	2022	2020	1.0277283303361306	1.020676620256289	0.59
2022-11	NOV	2022	2020	1.0277283303361306	1.020676620256289	0.41
2022-12	DEZ	2022	2020	1.1310803050018636	1.1233155156776142	0.62
2023-01	JAN	2023	2020	1.1310803050018636	1.1233155156776142	0.53
